Ticker,Description,Pre-market Close,Pre-market Change %,Pre-market Gap %,Pre-market Volume,Price,Change %,Volume,Post-market Close,Post-market Change %,Post-market Volume,Technical Rating,Market Capitalization
LE,"Lands' End, Inc.",,,,,6.94,-5.06155951,107833,6.94,0,18439,Strong Sell,225442036.9548560
CETU,Cetus Capital Acquisition Corp.,,,,,10.17,0.0984252,105362,,,,Strong Buy,66740625
CTRN,"Citi Trends, Inc.",16.33,0.12262416,0.12262416,100,15.77,-3.31085224,105278,15.77,0,13643,Strong Sell,131100227.5806250
HNRA,HNR Acquisition Corp,,,,,10.55,0.09487666,104761,,,,Strong Buy,122709691.50379500
ARTE,Artemis Strategic Investment Corporation,,,,,10.39,0,104091,,,,Buy,261373446
AADI,"Aadi Bioscience, Inc.",,,,,7.78,0.64683053,103727,7.78,0,13303,Sell,190119788.54075000
CNTY,"Century Casinos, Inc.",,,,,6.77,-3.14735336,103721,6.77,0,14629,Strong Sell,202223592.02289000
HNRG,Hallador Energy Company,,,,,7.5,-1.44546649,103221,7.5,0,12475,Sell,247369541.39290400
GHL,"Greenhill & Co., Inc.",6.41,4.39739414,-0.16286645,300,6.79,10.58631922,102756,6.79,0,2641,Sell,124326085.48534200
IMRX,Immuneering Corporation,8.37,-4.88636364,2.04545455,300,8.03,-8.75,102350,7.2778,-9.36737235,1723,Sell,234661258.48750000
OPRX,OptimizeRx Corporation,,,,,14.4,-0.34602076,101055,14.4,0,16110,Strong Sell,246241403.1280280
GLUE,"Monte Rosa Therapeutics, Inc.",5.1457,4.80040733,4.80040733,500,4.97,1.22199593,100751,4.97,0,41190,Sell,245314379.80855400
